PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
5,1658,417368,-3003071.83762824,-25224706.7120394,-7558638.99799454,386.47399100089,-929.725549782659,2966.29828248944,-0.874127066326681,-70255.0725879607,0
5,1658,417369,-3002685.4072594,-25225636.2627807,-7555672.61878578,386.38675375072,-929.37592895269,2966.46012382535,-0.873907892804579,-70255.0741216712,0
5,1658,417370,-3002299.06410538,-25226565.4638873,-7552706.07776739,386.299561311143,-929.026280130148,2966.62190172641,-0.873688700570044,-70255.0756553818,0
5,1658,417371,-3001912.80812141,-25227494.315331,-7549739.37500283,386.212413687623,-928.676603327255,2966.78361618904,-0.87346948962776,-70255.0771890923,0
5,1658,417372,-3001526.63926282,-25228422.8170839,-7546772.51055552,386.125310885618,-928.326898556234,2966.9452672097,-0.87325025998241,-70255.0787228028,0
5,1658,417373,-3001140.55748445,-25229350.9691181,-7543805.48448892,386.038252910602,-927.977165829302,2967.10685478482,-0.873031011638678,-70255.0802565134,0
5,1658,417374,-3000754.56274164,-25230278.7714056,-7540838.29686646,385.951239768026,-927.627405158686,2967.26837891085,-0.872811744601249,-70255.0817902239,0
5,1658,417375,-3000368.65498955,-25231206.2239185,-7537870.94775161,385.864271463345,-927.277616556609,2967.42983958422,-0.872592458874806,-70255.0833239345,0
5,1658,417376,-2999982.83418336,-25232133.3266288,-7534903.43720783,385.777348002013,-926.927800035302,2967.59123680137,-0.872373154464036,-70255.084857645,0
5,1658,417377,-2999597.10027818,-25233060.0795086,-7531935.76529852,385.690469389482,-926.577955606986,2967.75257055877,-0.872153831373621,-70255.0863913556,0
5,1658,417378,-2999211.4532292,-25233986.4825301,-7528967.93208721,385.603635631196,-926.228083283893,2967.91384085284,-0.87193448960825,-70255.0879250661,0
5,1658,417379,-2998825.89299155,-25234912.5356653,-7525999.93763733,385.516846732606,-925.878183078253,2968.07504768005,-0.871715129172608,-70255.0894587767,0
