PRN,M0,DELTA_N,ECC,SQRT_A,LOA,INC,PERIGEE,RA_RATE,INC_RATE,Cuc,Cus,Crc,Crs,Cic,Cis,Toe,IODE,GPS_WEEK,TOC,Af0,Af1,Af2,BLANK,HEALTH
3,2.88904703846,5.20807408005e-09,0.0148955206387,5153.68460083,1.60346274184,0.929354969742,1.14782839772,-8.11569519414e-09,4.10731394325e-11,-3.82773578167e-06,8.74884426594e-06,193.40625,-71.71875,8.19563865662e-08,-2.1792948246e-07,410368,78,1658,410368,0.000783920753747,5.11590769747e-12,0,0,0
3,2.89138083021,5.20807408005e-09,0.0148955164477,5153.68459892,1.60346263504,0.929354965353,1.14782832457,-8.11569519414e-09,4.10731394325e-11,-3.82773578167e-06,8.74884426594e-06,193.40625,-71.71875,8.19563865662e-08,-2.1792948246e-07,410384,0,1658,410384,0.000783923547715,5.11590769747e-12,0,0,0
3,2.8937145532,5.20807408005e-09,0.014895516797,5153.68460083,1.60346249022,0.929354977057,1.14782834944,-8.11569519414e-09,4.07159816984e-11,-3.82773578167e-06,8.74884426594e-06,193.40625,-71.71875,8.19563865662e-08,-2.1792948246e-07,410400,77,1658,410400,0.00078392541036,5.11590769747e-12,0,0,0
3,-2.34393125024,5.15342894672e-09,0.0148953653406,5153.68507385,1.60340328885,0.929355771421,1.14780126644,-8.1539110717e-09,1.95722438339e-10,-4.09968197346e-06,8.64267349243e-06,189.875,-76.25,2.04890966415e-07,-4.47034835815e-08,417568,81,1658,417568,0.000783957075328,5.11590769747e-12,0,0,0
3,-1.28914238257,5.21057418419e-09,0.014895179309,5153.68360519,1.60334461998,0.929355862122,1.14785781115,-8.40999316711e-09,6.50027076237e-11,-3.41050326824e-06,9.11019742489e-06,183,-71.875,2.53319740295e-07,2.94297933578e-07,424800,82,1658,424800,0.000783993862569,5.11590769747e-12,0,0,0
4,2.75787800281,5.25450458549e-09,0.00990873086266,5153.72223473,2.78165420763,0.938181942404,0.782387789592,-8.14319633967e-09,2.10723063176e-10,5.42029738426e-07,8.06897878647e-06,213,11.34375,-5.40167093277e-08,-1.71363353729e-07,345600,42,1658,345600,0.000265577342361,1.13686837722e-11,0,0,0
4,-2.47749757413,5.2284320709e-09,0.00990905438084,5153.72162628,2.78159483949,0.938183541373,0.782401260142,-8.21677083292e-09,3.21799118511e-10,1.52736902237e-07,7.84173607826e-06,214.71875,9.53125,1.28522515297e-07,-1.52736902237e-07,352784,1,1658,352784,0.000265654176474,1.13686837722e-11,0,0,0
4,-2.47516306701,5.22878922863e-09,0.0099090434378,5153.72161484,2.78159473855,0.938183538447,0.782400464314,-8.21677083292e-09,3.21441960777e-10,1.54599547386e-07,7.84173607826e-06,214.71875,9.53125,1.28522515297e-07,-1.52736902237e-07,352800,43,1658,352800,0.000265659298748,1.13686837722e-11,0,0,0
4,-1.42747457611,5.16235789007e-09,0.00990964751691,5153.71888161,2.78153577564,0.938185833766,0.782535498967,-8.26748723117e-09,3.0215544313e-10,9.18284058571e-07,7.06501305103e-06,222.46875,16.375,2.25380063057e-07,-5.21540641785e-08,359984,5,1658,359984,0.000265735667199,1.13686837722e-11,0,0,0
4,-0.374982393282,5.18700177373e-09,0.00990979035851,5153.71904945,2.78147546392,0.93818673346,0.782534925504,-8.50999733269e-09,2.48581783001e-10,1.16229057312e-06,7.44313001633e-06,223.59375,17.78125,5.58793544769e-08,1.50874257088e-07,367200,15,1658,367200,0.000265817623585,1.13686837722e-11,0,0,0
4,0.675142590605,5.09806949791e-09,0.00991100620013,5153.72146225,2.78141531019,0.938188401187,0.782566531849,-8.40999316711e-09,1.02504269714e-10,1.55903398991e-06,7.75791704655e-06,219.1875,25.4375,-1.67638063431e-07,1.28522515297e-07,374400,16,1658,374400,0.000265899114311,1.13686837722e-11,0,0,0
4,1.72514540181,5.11949904691e-09,0.00991172646172,5153.72463036,2.78135475708,0.938189009761,0.782718605109,-8.3674915885e-09,8.92894369553e-11,8.73580574989e-07,8.4787607193e-06,209.8125,18.0625,-2.08616256714e-07,-2.421438694e-08,381600,47,1658,381600,0.000265980605036,1.13686837722e-11,0,0,0
4,2.77534567039,5.09128350096e-09,0.00991221261211,5153.72339439,2.78129515487,0.93819077404,0.782672695814,-8.14891086342e-09,1.22862260564e-10,7.76723027229e-07,8.40611755848e-06,204.90625,17.71875,-9.31322574616e-09,-1.50874257088e-07,388800,48,1658,388800,0.000266062095761,1.13686837722e-11,0,0,0
4,-2.45769180944,5.15557196934e-09,0.00991257536225,5153.72270393,2.7812357999,0.938191735177,0.782680257637,-8.20677037439e-09,2.16437590073e-10,7.35744833946e-07,8.33161175251e-06,205.875,15.28125,1.41561031342e-07,-1.22934579849e-07,396000,81,1658,396000,0.000266143586487,1.13686837722e-11,0,0,0
4,-1.40768515807,5.20771692436e-09,0.0099131653551,5153.71969605,2.78117686332,0.938193201021,0.7828300663,-8.26462986936e-09,1.85722021095e-10,1.25914812088e-06,7.8622251749e-06,213.84375,23.5,2.44006514549e-07,-1.86264514923e-08,403200,96,1658,403200,0.000266225542873,1.13686837722e-11,0,0,0
4,-0.357527401891,5.35879464388e-09,0.00991328805685,5153.71982193,2.78111653989,0.938193079599,0.782830511027,-8.55464204946e-09,1.41077305008e-10,1.39512121677e-06,7.86781311035e-06,214.84375,24.90625,7.45058059692e-09,1.52736902237e-07,410400,103,1658,410400,0.000266307033598,1.13686837722e-11,0,0,0
4,0.692589486206,5.36058043255e-09,0.00991450378206,5153.72226334,2.78105513098,0.938194045125,0.782871806279,-8.54071289783e-09,1.02504269714e-10,1.95205211639e-06,8.23847949505e-06,209.1875,32.21875,-5.96046447754e-08,1.13621354103e-07,417600,104,1658,417600,0.000266388524324,1.13686837722e-11,0,0,0
4,1.74252904376,5.27986278462e-09,0.00991545524448,5153.72670937,2.7809929672,0.938195579726,0.783088329858,-8.40070706603e-09,2.60367988229e-10,1.14738941193e-06,9.04127955437e-06,196.75,21.09375,-3.09199094772e-07,1.86264514923e-08,424800,105,1658,424800,0.000266470015049,1.13686837722e-11,0,0,0
5,1.57197645549,5.00949437983e-09,0.00252504402306,5153.77615929,-2.45663927791,0.953037304961,0.172147806807,-8.27463038586e-09,-2.92155026572e-10,9.12696123123e-07,7.52508640289e-06,230.1875,13.21875,4.65661287308e-08,4.28408384323e-08,345600,48,1658,345600,-0.000233979895711,-5.11590769747e-12,0,0,0
